2026-04-04 16:19:24 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=72
2026-04-04 16:19:35 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=82
2026-04-04 16:19:35 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='IN_PROGRESS', elapsed_s=82
2026-04-04 16:19:45 | INFO     | service.video_service | • poll_video_task() [INFO]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='COMPLETED', elapsed_s=93
2026-04-04 16:19:45 | DEBUG    | service.video_service | • poll_video_task() [INFO] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', status='COMPLETED', elapsed_s=93
2026-04-04 16:19:45 | INFO     | service.video_service | ← poll_video_task() [OUT]  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', video_url='https://v3b.fal.media/files/b/0a94f60d/9NHVnb5SxfC9401IJBPVi_G5ECeCoq.mp4'
2026-04-04 16:19:45 | DEBUG    | service.video_service | ← poll_video_task() [OUT] FULL  request_id='019d5aca-2cda-79d1-a064-6b433c49c17f', video_url='https://v3b.fal.media/files/b/0a94f60d/9NHVnb5SxfC9401IJBPVi_G5ECeCoq.mp4'
2026-04-04 16:19:45 | INFO     | service.video_service | → download_video() [IN]  video_url='https://v3b.fal.media/files/b/0a94f60d/9NHVnb5SxfC9401IJBPVi_G5ECeCoq.mp4'
2026-04-04 16:19:45 | DEBUG    | service.video_service | → download_video() [IN] FULL  video_url='https://v3b.fal.media/files/b/0a94f60d/9NHVnb5SxfC9401IJBPVi_G5ECeCoq.mp4'
2026-04-04 16:19:48 | INFO     | service.video_service | ← download_video() [OUT]  filename='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4', size_kb=6830
2026-04-04 16:19:48 | DEBUG    | service.video_service | ← download_video() [OUT] FULL  filename='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4', size_kb=6830
2026-04-04 16:19:48 | INFO     | service.video_service | ← generate_video() [OUT]  local_path='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4'
2026-04-04 16:19:48 | DEBUG    | service.video_service | ← generate_video() [OUT] FULL  local_path='outputs/run_20260404_161805/79389955-d6f6-4892-b911-a7cfa63d1282.mp4'
